Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A08,Absolute Quantification,ABS,B73X24R1,Ch1Unknown,,Multi,341,QX200 ddPCR EvaGreen Supermix,6820,,,351,330,3952,11770,3952,0,11769,1,341,15722,,,,,,,,0.03,,,0.037,0.023,2.9,,,3.6,2.2,1,1,0,22176,7881.3,11474,,,,,346,335,,,,,,,0.0334,0.0265,,,3.24,2.58
B08,Absolute Quantification,ABS,B73C24R2,Ch1Unknown,,Multi,406,QX200 ddPCR EvaGreen Supermix,8120,,,419,394,3821,9259,3821,0,9259,0,0,13080,,,,,,,,0.00041,,,0.00061,0.0002,0.041,,,0.061,0.02,1,1,0,21901,7687.7,11840,,,,,413,400,,,,,,,0.00061,0.00021,,,0.061,0.021
C08,Absolute Quantification,ABS,B73C24R3,Ch1Unknown,,Multi,264,QX200 ddPCR EvaGreen Supermix,5280,,,273,255,3477,13835,3477,0,13834,1,264,17312,,,,,,,,0.023,,,0.029,0.017,2.2,,,2.8,1.7,1,1,0,22712,5315.3,8809.2,,,,,268.3,259.3,,,,,,,0.0256,0.0203,,,2.5,1.99
D08,Absolute Quantification,ABS,GEMNX24R1,Ch1Unknown,,Multi,290,QX200 ddPCR EvaGreen Supermix,5800,,,300,281,3649,13033,3649,0,13033,0,0,16682,,,,,,,,0.00029,,,0.00043,0.00015,0.029,,,0.043,0.015,1,1,0,21570,7209.8,10351,,,,,295.2,285.6,,,,,,,0.00043,0.00015,,,0.043,0.015
E08,Absolute Quantification,ABS,GEMNX24R2,Ch1Unknown,,Multi,97,QX200 ddPCR EvaGreen Supermix,1940,,,103,92,1275,14779,1275,0,14779,0,0,16054,,,,,,,,9.70E-05,,,0.000146,4.90E-05,0.0097,,,0.0146,0.0049,1,1,0,21531,6727.3,7903,,,,,100.1,94.6,,,,,,,0.000146,4.90E-05,,,0.0146,0.0049
F08,Absolute Quantification,ABS,GEMNX24R3,Ch1Unknown,,Multi,300,QX200 ddPCR EvaGreen Supermix,6000,,,310,291,3732,12839,3732,0,12839,0,0,16571,,,,,,,,0.0003,,,0.00045,0.00015,0.03,,,0.045,0.015,1,1,0,21438,6913.3,10184,,,,,305.1,295.3,,,,,,,0.00045,0.00015,,,0.045,0.015
G08,Absolute Quantification,ABS,Mo17X24R1,Ch1Unknown,,Multi,100,QX200 ddPCR EvaGreen Supermix,2000,,,105,94,1389,15719,1389,0,15718,1,99.6,17108,,,,,,,,0.0087,,,0.0108,0.0065,0.86,,,1.07,0.65,1,1,0,22350,6857.1,8114.9,,,,,102.3,96.9,,,,,,,0.0097,0.0077,,,0.96,0.76
H08,Absolute Quantification,ABS,Mo17X24R2,Ch1Unknown,,Multi,18.1,QX200 ddPCR EvaGreen Supermix,362,,,20.3,15.9,261,16793,261,0,16793,0,0,17054,,,,,,,,1.80E-05,,,2.70E-05,9.00E-06,0.0018,,,0.0027,0.0009,1,1,0,22061,6041.2,6286.4,,,,,19.3,17,,,,,,,2.70E-05,9.00E-06,,,0.0027,0.0009
A09,Absolute Quantification,ABS,Mo17X24R3,Ch1Unknown,,Multi,753,QX200 ddPCR EvaGreen Supermix,15060,,,771,736,7144,7966,7144,0,7965,1,753,15110,,,,,,,,0.067,,,0.083,0.05,6.2,,,7.7,4.8,1,1,0,22385,6594.1,14060,,,,,762,744,,,,,,,0.074,0.059,,,6.9,5.6
B09,Absolute Quantification,ABS,Oh43X24R1,Ch1Unknown,,Multi,170,QX200 ddPCR EvaGreen Supermix,3400,,,178,162,1647,10594,1647,0,10594,0,0,12241,,,,,,,,0.00017,,,0.00025,9.00E-05,0.017,,,0.025,0.009,1,1,0,22017,7093.9,9101.7,,,,,174.2,165.8,,,,,,,0.00025,9.00E-05,,,0.025,0.009
C09,Absolute Quantification,ABS,Oh43X24R2,Ch1Unknown,,Multi,295,QX200 ddPCR EvaGreen Supermix,5900,,,305,285,3515,12334,3515,0,12332,2,295,15849,,,,,,,,0.0279,,,0.0328,0.0231,2.72,,,3.17,2.26,1,1,0,21969,7487.8,10699,,,,,300,290,,,,,,,0.0303,0.0256,,,2.94,2.49
D09,Absolute Quantification,ABS,Oh43X24R3,Ch1Unknown,,Multi,213,QX200 ddPCR EvaGreen Supermix,4260,,,221,205,2767,13922,2767,0,13922,0,0,16689,,,,,,,,0.00021,,,0.00032,0.00011,0.021,,,0.032,0.011,1,1,0,22593,6157,8882.1,,,,,217.3,209.2,,,,,,,0.00032,0.00011,,,0.032,0.011
E09,Absolute Quantification,ABS,B73X72R1,Ch1Unknown,,Multi,553,QX200 ddPCR EvaGreen Supermix,11060,,,568,538,5142,8572,5142,0,8572,0,0,13714,,,,,,,,0.00055,,,0.00083,0.00028,0.055,,,0.083,0.028,1,1,0,22362,6634.8,12532,,,,,561,545,,,,,,,0.00083,0.00028,,,0.083,0.028
F09,Absolute Quantification,ABS,B73X72R2,Ch1Unknown,,Multi,247,QX200 ddPCR EvaGreen Supermix,4940,,,256,238,2835,12117,2835,0,12116,1,247,14952,,,,,,,,0.022,,,0.027,0.016,2.1,,,2.7,1.6,1,1,0,22295,7112.9,9991.5,,,,,252,242.7,,,,,,,0.0244,0.0193,,,2.39,1.9
G09,Absolute Quantification,ABS,B73X72R3,Ch1Unknown,,Multi,50.1,QX200 ddPCR EvaGreen Supermix,1002,,,54.1,46.1,601,13806,601,0,13806,0,0,14407,,,,,,,,5.00E-05,,,7.50E-05,2.50E-05,0.005,,,0.0075,0.0025,1,1,0,22032,7283.4,7898.7,,,,,52.2,48.1,,,,,,,7.50E-05,2.50E-05,,,0.0075,0.0025
